FID,cnuc,nome_uc,area_ha,acao,tipo,satelite,obs,juliano,data,ano,mes_nome,mes_num,categoria,local,area_uc,area_ent,bioma,gr_nome,ngi,cr,GlobalID,Shape__Are,Shape__Len,Shape__Area,Shape__Length,ct
358484,0000.00.0023,APA do Planalto Central,18.5281835638757,incendio,incendio,planet, ,156,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,18.5281835638757,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,200393.385742188,3399.63223615147, 
358485,0000.00.0023,APA do Planalto Central,18.0459717809454,incendio,incendio,planet, ,157,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,18.0459717809454,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,195017.981445313,3884.94306791912, 
358486,0000.00.0023,APA do Planalto Central,44.3016731549164,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,44.3016731549164,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,479224.900390625,3930.6136508717, 
358487,0000.00.0023,APA do Planalto Central,479.499247690448,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,479.499247690448,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,5187518.79101563,35683.1939183096, 
358488,0000.00.0023,APA do Planalto Central,26.593342912936,incendio,incendio,planet, ,160,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,26.593342912936,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,287397.452148438,5358.94351503933, 
358489,0000.00.0023,APA do Planalto Central,37.5865866474051,incendio,incendio,planet, ,276,11/29/2025 12:00:00 AM,2025,nov,11,incendio,interior,37.5865866474051,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,407606.303710938,3817.13979107429, 
358490,0000.00.0139,PARNA da Chapada dos Veadeiros,12.169704544392,incendio,incendio,planet, ,166,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,12.169704544392,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,130063.661621094,1664.60188232097, 
358491,0000.00.0106,FLONA de Roraima,26.8093870684637,queima controlada,manejo,planet,Queima do dia 18/11,322,11/27/2025 12:00:00 AM,2025,nov,11,manejo,interior,26.8093870684637,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Roraima,CR Manaus,,,,270441.950927734,3514.01966737302,CT Manaus
358492,0000.00.0139,PARNA da Chapada dos Veadeiros,743.197274883444,queima prescrita,manejo,planet,Queima do dia 12/06,164,6/15/2025 12:00:00 AM,2025,jun,06,manejo,interior,743.197274883444,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,7933030.69482422,26163.303183282, 
358493,0000.00.0083,FLONA de Altamira,30.9980981003128,incendio,incendio,planet,Imagem de 11/01/2026,351,12/31/2025 12:00:00 AM,2025,dez,12,incendio,interior,30.9980981003128,0,AMAZÔNIA,GR 1 - NORTE,Núcleo de Gestão Integrada - ICMBio Serra do Cachimbo,CR Oeste d,,,,315719.900878906,2906.75371951709,CT Itaituba
358494,0000.00.0159,PARNA de Brasília,7.06410146558879,queima prescrita,manejo,planet,Queima do dia 08/04,99,5/4/2025 12:00:00 AM,2025,mai,05,manejo,interior,7.06410146558879,0,CERRADO,GR 3 - CENTRO-OESTE,Núcleo de Gestão Integrada - ICMBio Brasília-Contagem, ,,,,76650.578125,1495.19370230354, 
358495,0000.00.0076,ESEC Serra Geral do Tocantins,3793.62892053054,queima prescrita,manejo,planet,Queima do dia 05/06,157,6/24/2025 12:00:00 AM,2025,jun,06,manejo,interior,3793.62892053054,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,39582965.4042969,77701.769691072, 
358496,0000.00.0024,APA Meandros do Rio Araguaia,133.624135535409,incendio,incendio,planet, ,166,6/14/2025 12:00:00 AM,2025,jun,06,incendio,interior,133.624135535409,0,CERRADO,GR 3 - CENTRO-OESTE,Núcleo de Gestão Integrada - ICMBio Meandros do Rio Araguaia, ,,,,1419727.60742188,7616.39201769915, 
358497,0000.00.0023,APA do Planalto Central,4.3105474598795,incendio,incendio,planet, ,162,6/15/2025 12:00:00 AM,2025,jun,06,incendio,interior,4.3105474598795,0,CERRADO,GR 3 - CENTRO-OESTE,-, ,,,,46630.9833984375,1107.78407193568, 
