system:index,B11,B12,B2,B3,B4,B8,burned,dnbr,nbr,ndmi,ndvi,ndwi,.geo
2_163,2190.0,1271.5,343.0,529.5,591.0,2096.0,0,0.14650574,0.25249654,-0.023211164,0.288363,-0.6006423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.25062037669533,-13.989598666885927]}"
2_164,2860.5,1744.0,498.0,735.0,873.0,2385.5,0,0.11237724,0.16096576,-0.08288335,0.22310863,-0.526418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.04364853523419,-13.779392890401958]}"
2_165,2219.5,1193.0,350.0,595.5,656.5,2486.5,0,0.09799379,0.35099208,0.06890842,0.33346096,-0.60364836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.15683626103325,-13.797179533027524]}"
2_166,2834.0,1622.0,488.0,725.0,909.0,2312.0,0,0.26941752,0.16911197,-0.08776863,0.2456446,-0.53705585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.032329762654285,-13.77211653660059]}"
2_167,2308.0,1319.0,351.5,563.5,666.0,2164.0,0,0.16730729,0.25286296,-0.03480521,0.2595674,-0.57508194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.04364853523419,-13.924919966429322]}"
2_168,2364.0,1252.0,308.0,510.0,674.0,2484.0,0,0.33024165,0.31122008,-6.594856E-4,0.2746479,-0.6339186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.0129261525173,-13.9653441542147]}"
2_169,2253.0,1189.0,269.0,498.0,470.0,2468.0,0,0.2821669,0.34424347,0.054504506,0.3782879,-0.664155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.13743265089627,-14.038916175984088]}"
2_170,2126.0,1109.0,285.0,489.0,548.0,2281.0,0,0.2193068,0.34240642,0.033579424,0.3067948,-0.625585,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-46.99028860735749,-13.937855706520642]}"
2_171,1840.5,949.5,274.5,467.0,414.5,2290.0,0,0.050148427,0.4137691,0.11492703,0.38453618,-0.66658455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.1940265137958,-13.979088378061729]}"
2_172,3381.5,2218.5,666.0,964.5,1218.5,2667.0,0,0.11631503,0.09344851,-0.11831657,0.18475804,-0.46621817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.08892362555382,-13.662971229580068]}"
2_173,2344.0,1507.4,319.4375,469.0,539.75,1720.090909090909,0,0.024154667,0.05226059,-0.15919402,0.24451256,-0.55986685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.36219113498297,-14.117339100287722]}"
2_174,2269.666666666667,1457.6666666666667,361.75,563.75,678.5,2056.725,0,0.123001605,0.1637246,-0.060472924,0.23229267,-0.5641629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-47.30883120710627,-13.961301735436162]}"
